,Name,Author,Price
106,The Reverse Coloring Book (R),Kendra Norton,US$17.42
107,Twisted Love,Ana Huang,US$13.65
108,The Mini ADHD Coach,Alice Gendron,US$20.49
109,Small Things Like These,Claire Keegan,US$11.88
110,Terms and Conditions,Lauren Asher,US$14.88
111,12 Rules for Life,Jordan B. Peterson,US$16.29
112,The Daily Stoic,Ryan Holiday,US$15.03
113,Things We Never Got Over,Lucy Score,US$14.27
114,I Don't Need Therapy,Toni Lodge,US$22.82
115,Glucose Revolution,Jessie Inchauspe,"US$18.72
                        
                             US$20.49"
116,Heaven Official's Blessing: Tian Guan Ci Fu (Novel) Vol. 5,Mo Xiang Tong Xiu,US$24.19
117,Spare,Prince Harry the Duke of Sussex,"US$28.50
                        
                             US$33.77"
118,Things We Hide From The Light,Lucy Score,US$15.13
119,The Silent Patient,Alex Michaelides,US$11.89
120,Grandmaster of Demonic Cultivation: Mo Dao Zu Shi (Novel) Vol. 5 (Special Edition),Mo Xiang Tong Xiu;,US$26.99
121,Twisted Games,Ana Huang,US$14.53
122,The One Thing,Gary Keller,"US$12.12
                        
                             US$13.26"
123,Bored of Lunch: The Healthy Slow Cooker Book,Nathan Anthony,US$29.09
124,"The Boy, The Mole, The Fox and The Horse",Charlie Mackesy,US$24.78
125,Strong Female Character,Fern Brady,"US$20.23
                        
                             US$20.49"
126,Chain of Thorns,Cassandra Clare,US$37.73
127,The Husky and His White Cat Shizun: Erha He Ta De Bai Mao Shizun (Novel) Vol. 2,Rou Bao Bu Chi Rou,US$25.98
128,The Parenting Map,Shefali Tsabary,US$37.72
129,Where the Crawdads Sing,Delia Owens,US$12.84
130,Four Thousand Weeks,Oliver Burkeman,US$14.76
131,Attached,Amir Levine,US$14.98
132,Foster,Claire Keegan,US$11.87
133,Everything I Know About Love,Dolly Alderton,US$15.56
134,Manifest,Roxie Nafousi,US$21.33
135,"Thinking, Fast and Slow",Daniel Kahneman,"US$18.54
                        
                             US$20.25"
136,The Secret History,Donna Tartt,US$17.12
137,Daisy Jones and The Six,Taylor Jenkins Reid,US$15.06
138,Ugly Love,Colleen Hoover,"US$12.66
                        
                             US$13.00"
139,Twisted Lies,Ana Huang,US$15.57
140,Climate,Whitney Hanson,US$19.87
141,Grandmaster of Demonic Cultivation: Mo Dao Zu Shi (Novel) Vol. 4,Mo Xiang Tong Xiu,US$22.48
142,Twisted Hate,Ana Huang,US$15.16
143,A Man Called Ove,Fredrik Backman,US$11.58
144,The Untethered Soul,Michael A. Singer,"US$16.74
                        
                             US$18.95"
145,King of Wrath,Ana Huang,US$14.06
146,The Thursday Murder Club,Richard Osman,US$13.78
147,Heaven Official's Blessing,Mo Xiang Tong Xiu,US$22.48
148,The Song of Achilles,Madeline Miller,US$14.48
149,Gothikana: A Dark Academia Gothic Romance: TikTok Made Me Buy it!,RuNyx,US$14.59
150,The Invisible Life of Addie LaRue - Illustrated edition,V.E. Schwab,US$26.10
151,Girl in Pieces,Kathleen Glasgow,US$14.58
152,No Bad Parts,Richard C. Schwartz,"US$15.82
                        
                             US$19.99"
153,Once Upon A Broken Heart,Stephanie Garber,US$13.71
154,The Science of Stuck: Breaking Through Inertia to Find Your Path Forward,Britt Frank,"US$17.29
                        
                             US$18.08"
155,Sabai,Pailin Chongchitnant,US$63.43
156,Emily Wilde's Encyclopaedia of Faeries,Heather Fawcett,US$24.86
157,Start With Why,Simon Sinek,"US$13.63
                        
                             US$21.75"
158,The Concise 48 Laws Of Power,Robert Greene,"US$12.12
                        
                             US$15.50"
159,Heaven Official's Blessing: Tian Guan Ci Fu (Novel) Vol. 4,Mo Xiang Tong Xiu,US$23.18
160,Adult Children of Emotionally Immature Parents,Lindsay C Gibson,"US$17.18
                        
                             US$18.95"
161,The Invisible String,Patrice Karst,US$13.16
162,All About Love,bell hooks,"US$14.75
                        
                             US$16.99"
163,Never Split the Difference,Chris Voss,US$14.76
164,The Things We Leave Unfinished,Rebecca Yarros,US$15.00
165,"Vagabond (VIZBIG Edition), Vol. 2",Takehiko Inoue,US$31.77
166,Magnolia Parks,Jessa Hastings,US$19.63
167,No Longer Human,Osamu Dazai,US$15.45
168,The Art of War,Sun Tzu,US$6.32
169,Heaven Official's Blessing: Tian Guan Ci Fu (Novel) Vol. 3,Mo Xiang Tong Xiu,US$20.54
170,The Parenting Map,Dr Shefali Tsabary,US$33.73
171,Young Forever,Mark Hyman,"US$19.84
                        
                             US$20.49"
172,Cold Enough for Snow,Jessica Au,"US$13.19
                        
                             US$15.00"
173,The Herbal Astrology Oracle,Adriana Ayales,"US$21.00
                        
                             US$26.99"
